ID,起點,終點,CO2_KG
1,南港,台北,0.3
2,南港,板橋,0.53
3,南港,桃園,1.46
4,南港,新竹,2.42
5,南港,苗栗,3.47
6,南港,台中,5.42
7,南港,彰化,6.32
8,南港,雲林,7.11
9,南港,嘉義,8.18
10,南港,台南,10.17
11,南港,左營,11.18
12,台北,板橋,0.23
13,台北,桃園,1.17
14,台北,新竹,2.13
15,台北,苗栗,3.17
16,台北,台中,5.13
17,台北,彰化,6.03
18,台北,雲林,6.82
19,台北,嘉義,7.88
20,台北,台南,9.88
21,台北,左營,10.88
22,板橋,桃園,0.94
23,板橋,新竹,1.89
24,板橋,苗栗,2.94
25,板橋,台中,4.89
26,板橋,彰化,5.8
27,板橋,雲林,6.59
28,板橋,嘉義,7.65
29,板橋,台南,9.65
30,板橋,左營,10.65
31,桃園,新竹,0.96
32,桃園,苗栗,2.01
33,桃園,台中,3.96
34,桃園,彰化,4.86
35,桃園,雲林,5.65
36,桃園,嘉義,6.71
37,桃園,台南,8.71
38,桃園,左營,9.72
39,新竹,苗栗,1.05
40,新竹,台中,3
41,新竹,彰化,3.9
42,新竹,雲林,4.69
43,新竹,嘉義,5.75
44,新竹,台南,7.75
45,新竹,左營,8.76
46,苗栗,台中,1.95
47,苗栗,彰化,2.86
48,苗栗,雲林,3.64
49,苗栗,嘉義,4.71
50,苗栗,台南,6.7
51,苗栗,左營,7.71
52,台中,彰化,0.9
53,台中,雲林,1.69
54,台中,嘉義,2.75
55,台中,台南,4.75
56,台中,左營,5.76
57,彰化,雲林,0.79
58,彰化,嘉義,1.85
59,彰化,台南,3.85
60,彰化,左營,4.85
61,雲林,嘉義,1.06
62,雲林,台南,3.06
63,雲林,左營,4.06
64,嘉義,台南,2
65,嘉義,左營,3
66,台南,左營,1
67,左營,南港,11.18
68,左營,台北,10.88
69,左營,板橋,10.65
70,左營,桃園,9.72
71,左營,新竹,8.76
72,左營,苗栗,7.71
73,左營,台中,5.76
74,左營,彰化,4.85
75,左營,雲林,4.06
76,左營,嘉義,3
77,左營,台南,1
78,台南,南港,10.17
79,台南,台北,9.88
80,台南,板橋,9.65
81,台南,桃園,8.71
82,台南,新竹,7.75
83,台南,苗栗,6.7
84,台南,台中,4.75
85,台南,彰化,3.85
86,台南,雲林,3.06
87,台南,嘉義,2
88,嘉義,南港,8.18
89,嘉義,台北,7.88
90,嘉義,板橋,7.65
91,嘉義,桃園,6.71
92,嘉義,新竹,5.75
93,嘉義,苗栗,4.71
94,嘉義,台中,2.75
95,嘉義,彰化,1.85
96,嘉義,雲林,1.06
97,雲林,南港,7.11
98,雲林,台北,6.82
99,雲林,板橋,6.59
100,雲林,桃園,5.65
101,雲林,新竹,4.69
102,雲林,苗栗,3.64
103,雲林,台中,1.69
104,雲林,彰化,0.79
105,彰化,南港,6.32
106,彰化,台北,6.03
107,彰化,板橋,5.8
108,彰化,桃園,4.86
109,彰化,新竹,3.9
110,彰化,苗栗,2.86
111,彰化,台中,0.9
112,台中,南港,5.42
113,台中,台北,5.13
114,台中,板橋,4.89
115,台中,桃園,3.96
116,台中,新竹,3
117,台中,苗栗,1.95
118,苗栗,南港,3.47
119,苗栗,台北,3.17
120,苗栗,板橋,2.94
121,苗栗,桃園,2.01
122,苗栗,新竹,1.05
123,新竹,南港,2.42
124,新竹,台北,2.13
125,新竹,板橋,1.89
126,新竹,桃園,0.96
127,桃園,南港,1.46
128,桃園,台北,1.17
129,桃園,板橋,0.94
130,板橋,南港,0.53
131,板橋,台北,0.23
132,台北,南港,0.3
